k1,k2,S(MAC^7 k1 k2),R1,R2
3.0,22.0,1.0,0.2264232143887366,0.6370616598053281
3.0,23.0,1.0,0.2264232143887366,0.6462231365795733
3.0,24.0,1.0,0.2264232143887366,0.6549946429601653
3.0,25.0,1.0,0.2264232143887366,0.6634080271106749
3.0,26.0,1.0,0.2264232143887366,0.6714913883058704
3.0,27.0,1.0,0.2264232143887366,0.6792696431662099
3.0,28.0,1.0,0.2264232143887366,0.6867649888653721
3.0,29.0,1.0,0.2264232143887366,0.6939972850182247
3.0,30.0,1.0,0.2264232143887366,0.7009843708012171
3.0,31.0,1.0,0.2264232143887366,0.707742330055268
3.0,32.0,1.0,0.2264232143887366,0.7142857142857143
3.0,33.0,1.0,0.2264232143887366,0.7206277313369219
3.0,34.0,1.0,0.2264232143887366,0.7267804058929057
3.0,35.0,1.0,0.2264232143887366,0.7327547167064238
3.0,36.0,1.0,0.2264232143887366,0.7385607144917589
3.0,37.0,1.0,0.2264232143887366,0.7442076236612786
3.0,38.0,1.0,0.2264232143887366,0.7497039304919407
3.0,39.0,1.0,0.2264232143887366,0.7550574598374641
3.0,40.0,1.0,0.2264232143887366,0.7602754421267661
3.0,41.0,1.0,0.2264232143887366,0.7653645720882977
3.0,42.0,1.0,0.2264232143887366,0.7703310603969659
3.0,43.0,1.0,0.2264232143887366,0.7751806792431568
3.0,44.0,1.0,0.2264232143887366,0.7799188026624709
3.0,45.0,1.0,0.2264232143887366,0.7845504423328107
3.0,46.0,1.0,0.2264232143887366,0.7890802794367161
3.0,47.0,1.0,0.2264232143887366,0.7935126930968054
3.0,48.0,1.0,0.2264232143887366,0.7978517858173081
3.0,49.0,1.0,0.2264232143887366,0.8021014063021726
3.0,50.0,1.0,0.2264232143887366,0.8062651699678177
3.0,51.0,1.0,0.2264232143887366,0.8103464774244994
3.0,52.0,1.0,0.2264232143887366,0.8143485311630132
3.0,53.0,1.0,0.2264232143887366,0.8182743506518857
3.0,54.0,1.0,0.2264232143887366,0.8221267860233528
3.0,55.0,1.0,0.2264232143887366,0.8259085305035229
3.0,56.0,1.0,0.2264232143887366,0.8296221317225151
3.0,57.0,1.0,0.2264232143887366,0.8332700020235346
3.0,58.0,1.0,0.2264232143887366,0.8368544278753675
3.0,59.0,1.0,0.2264232143887366,0.8403775784802631
3.0,60.0,1.0,0.2264232143887366,0.8438415136583598
3.0,61.0,1.0,0.2264232143887366,0.8472481910804124
3.0,62.0,1.0,0.2264232143887366,0.8505994729124108
3.0,63.0,1.0,0.2264232143887366,0.8538971319285595
3.0,64.0,1.0,0.2264232143887366,0.8571428571428571
3.0,65.0,1.0,0.2264232143887366,0.8603382590040649
3.0,66.0,1.0,0.2264232143887366,0.8634848741940647
3.0,67.0,1.0,0.2264232143887366,0.866584170065396
3.0,68.0,1.0,0.2264232143887366,0.8696375487500486
3.0,69.0,1.0,0.2264232143887366,0.8726463509683101
3.0,70.0,1.0,0.2264232143887366,0.8756118595635668
3.0,71.0,1.0,0.2264232143887366,0.8785353027863831
3.0,72.0,1.0,0.2264232143887366,0.8814178573489018
3.0,73.0,1.0,0.2264232143887366,0.8842606512685739
3.0,74.0,1.0,0.2264232143887366,0.8870647665184216
3.0,75.0,1.0,0.2264232143887366,0.8898312414994115
3.0,76.0,1.0,0.2264232143887366,0.8925610733490837
3.0,77.0,1.0,0.2264232143887366,0.8952552200992717
3.0,78.0,1.0,0.2264232143887366,0.8979146026946071
3.0,79.0,1.0,0.2264232143887366,0.9005401068824433
3.0,80.0,1.0,0.2264232143887366,0.9031325849839088
3.0,81.0,1.0,0.2264232143887366,0.9056928575549464
3.0,82.0,1.0,0.2264232143887366,0.9082217149454408
3.0,83.0,1.0,0.2264232143887366,0.9107199187638464
3.0,84.0,1.0,0.2264232143887366,0.9131882032541084
3.0,85.0,1.0,0.2264232143887366,0.9156272765911004
3.0,86.0,1.0,0.2264232143887366,0.9180378221002996
3.0,87.0,1.0,0.2264232143887366,0.9204204994069612
3.0,88.0,1.0,0.2264232143887366,0.922775945519614
3.0,89.0,1.0,0.2264232143887366,0.9251047758523424
3.0,90.0,1.0,0.2264232143887366,0.9274075851899536
3.0,91.0,1.0,0.2264232143887366,0.9296849485998138
3.0,92.0,1.0,0.2264232143887366,0.931937422293859
3.0,93.0,1.0,0.2264232143887366,0.9341655444440046
3.0,94.0,1.0,0.2264232143887366,0.9363698359539482
3.0,95.0,1.0,0.2264232143887366,0.9385508011901356
3.0,96.0,1.0,0.2264232143887366,0.9407089286744508
3.0,97.0,1.0,0.2264232143887366,0.9428446917410184
3.0,98.0,1.0,0.2264232143887366,0.9449585491593157
3.0,99.0,1.0,0.2264232143887366,0.9470509457256584
3.0,100.0,1.0,0.2264232143887366,0.9491223128249608
3.0,101.0,1.0,0.2264232143887366,0.9511730689645422
3.0,102.0,1.0,0.2264232143887366,0.9532036202816422
3.0,103.0,1.0,0.2264232143887366,0.955214361026174
3.0,104.0,1.0,0.2264232143887366,0.9572056740201558
3.0,105.0,1.0,0.2264232143887366,0.9591779310951604
3.0,106.0,1.0,0.2264232143887366,0.9611314935090284
3.0,107.0,1.0,0.2264232143887366,0.9630667123430208
3.0,108.0,1.0,0.2264232143887366,0.9649839288804956
3.0,109.0,1.0,0.2264232143887366,0.9668834749681324
3.0,110.0,1.0,0.2264232143887366,0.9687656733606655
3.0,111.0,1.0,0.2264232143887366,0.9706308380500152
3.0,112.0,1.0,0.2264232143887366,0.9724792745796575
3.0,113.0,1.0,0.2264232143887366,0.974311280345027
3.0,114.0,1.0,0.2264232143887366,0.9761271448806774
3.0,115.0,1.0,0.2264232143887366,0.9779271501349108
3.0,116.0,1.0,0.2264232143887366,0.9797115707325104
3.0,117.0,1.0,0.2264232143887366,0.9814806742262008
3.0,118.0,1.0,0.2264232143887366,0.9832347213374059
3.0,119.0,1.0,0.2264232143887366,0.9849739661868492
3.0,120.0,1.0,0.2264232143887366,0.9866986565155028
3.0,121.0,1.0,0.2264232143887366,0.9884090338963708
3.0,122.0,1.0,0.2264232143887366,0.9901053339375552
3.0,123.0,1.0,0.2264232143887366,0.9917877864770342
3.0,124.0,1.0,0.2264232143887366,0.9934566157695536
3.0,125.0,1.0,0.2264232143887366,0.9951120406660126
3.0,126.0,0.992063492063492,0.2264232143887366,0.9967542747857024
3.0,127.0,0.9842519685039371,0.2264232143887366,0.9983835266817379
3.0,128.0,0.0,0.2264232143887366,1.0
4.0,1.0,1.0,0.2857142857142857,0.0
4.0,2.0,1.0,0.2857142857142857,0.14285714285714285
4.0,3.0,1.0,0.2857142857142857,0.2264232143887366
4.0,4.0,1.0,0.2857142857142857,0.2857142857142857
4.0,5.0,1.0,0.2857142857142857,0.33170401355533746
4.0,6.0,1.0,0.2857142857142857,0.3692803572458794
4.0,7.0,1.0,0.2857142857142857,0.4010507031510863
4.0,8.0,1.0,0.2857142857142857,0.42857142857142855
4.0,9.0,1.0,0.2857142857142857,0.4528464287774732
